"text","intent","response","entities"
"business loan","loan_inquiry","🏦 We offer business loans with competitive rates. Visit the 'Loans' page.",""
"cards","card_inquiry","💳 You can manage your cards on the 'Cards' page.",""
"credit card","card_inquiry","💳 View and manage your credit cards on the 'Cards' page.",""
"debit card","card_inquiry","💳 You can manage your debit card on the 'Cards' page.",""
"card details","card_inquiry","💳 All card information is available on the 'Cards' page.",""
"show my cards","card_inquiry","💳 You can view all your cards on the 'Cards' page.",""
"card limit","card_inquiry","💳 Check your card limit on the 'Cards' page.",""
"apply for credit card","card_inquiry","💳 You can apply for a new card through the 'Cards' section.",""
"block my card","block_card","🚨 Block your card immediately from the 'Cards' page or by calling our helpline.",""
"i lost my card","block_card","🚨 Please block your card immediately from the 'Cards' page or call our helpline.",""
"card stolen","block_card","🚨 Please block your card right away from the 'Cards' page or contact support.",""
"deactivate my card","block_card","🚨 You can deactivate your card from the 'Cards' page or call our helpline.",""
"freeze my card","block_card","🚨 Freeze your card instantly from the 'Cards' page.",""
"stop my card","block_card","🚨 Block your card immediately from the 'Cards' page or by calling our helpline.",""
"disable card","block_card","🚨 You can disable your card from the 'Cards' page or call support.",""
"branch details","branch_locator","You can find all our branch addresses and timings on the 'Branches' page.",""
"find a branch","branch_locator","Please visit the 'Branches' page on your dashboard to find the one nearest to you.",""
"nearest branch","branch_locator","Find your nearest branch on the 'Branches' page.",""
"branch location","branch_locator","All branch locations are listed on the 'Branches' page.",""
"find atm","branch_locator","You can find ATM locations on the 'Branches' page.",""
"atm near me","branch_locator","Find the nearest ATM on the 'Branches' page.",""
"branch timings","branch_locator","Branch operating hours are available on the 'Branches' page.",""
"where is your branch","branch_locator","You can find all branch addresses on the 'Branches' page.",""
"branch address","branch_locator","All branch addresses are listed on the 'Branches' page.",""
"locate branch","branch_locator","Use the 'Branches' page to locate our branches.",""
"transfer","transfer_money","💸 OK, let's send some money. Who should I send it to?",""
"send money","transfer_money","💸 Happy to help with that. What is the name of the recipient?",""
"i need to send money","transfer_money","💸 I can help with that. To whom would you like to send money?",""
"make a payment","transfer_money","💸 OK. Who is the payment for?",""
"i want to transfer","transfer_money","💸 Sure! Who would you like to transfer money to?",""
"pay someone","transfer_money","💸 I can help with that. Who is the recipient?",""
"money transfer","transfer_money","💸 Of course! Who should receive the money?",""
"send payment","transfer_money","💸 I can assist with that. What's the recipient's name?",""
"make transfer","transfer_money","💸 Sure! Who is the transfer for?",""
"transfer funds","transfer_money","💸 Happy to help! Who should receive the funds?",""
"send 500 rupees to Teja","transfer_money","💸 Sending 500 rupees to Teja...","PERSON:Teja|MONEY:500"
"transfer 1000 to Sri","transfer_money","💸 Transferring 1000 to Sri...","PERSON:Sri|MONEY:1000"
"transfer 2000 to John","transfer_money","💸 Transferring 2000 to John...","PERSON:John|MONEY:2000"
"send 1500 to Priya","transfer_money","💸 Sending 1500 to Priya...","PERSON:Priya|MONEY:1500"
"i want to send 2500 to Ravi","transfer_money","💸 Sending 2500 to Ravi...","PERSON:Ravi|MONEY:2500"
"please transfer 3000 to Sita","transfer_money","💸 Transferring 3000 to Sita...","PERSON:Sita|MONEY:3000"
"send 750 rupees to Amit","transfer_money","💸 Sending 750 rupees to Amit...","PERSON:Amit|MONEY:750"
"transfer 5000 to Neha","transfer_money","💸 Transferring 5000 to Neha...","PERSON:Neha|MONEY:5000"
"pay 1200 to Raj","transfer_money","💸 Paying 1200 to Raj...","PERSON:Raj|MONEY:1200"
"send 900 to Kavya","transfer_money","💸 Sending 900 to Kavya...","PERSON:Kavya|MONEY:900"
"transfer 4000 rupees to Arjun","transfer_money","💸 Transferring 4000 rupees to Arjun...","PERSON:Arjun|MONEY:4000"
"send 3500 to Maya","transfer_money","💸 Sending 3500 to Maya...","PERSON:Maya|MONEY:3500"
"pay 600 rupees to Vikram","transfer_money","💸 Paying 600 rupees to Vikram...","PERSON:Vikram|MONEY:600"
"transfer 2200 to Anjali","transfer_money","💸 Transferring 2200 to Anjali...","PERSON:Anjali|MONEY:2200"
"send 1800 rupees to Kiran","transfer_money","💸 Sending 1800 rupees to Kiran...","PERSON:Kiran|MONEY:1800"
"thank you","thanks","You're welcome! Is there anything else I can help with?",""
"thanks","thanks","Happy to help! Let me know if you need anything else.",""
"thanks a lot","thanks","You're very welcome! Anything else I can do?",""
"thank you so much","thanks","My pleasure! Is there anything else you need?",""
"appreciate it","thanks","Happy to help! Let me know if you need anything else.",""
"thanks for your help","thanks","Anytime! Feel free to ask if you need more assistance.",""
"thx","thanks","You're welcome! Anything else?",""
"ty","thanks","Happy to help!",""
"other","out_of_scope","I can only assist with banking questions.",""
"what's the weather","out_of_scope","I can only help with banking-related queries.",""
"tell me a joke","out_of_scope","I specialize in banking assistance. How can I help with your account?",""
"who won the match","out_of_scope","I can only assist with banking questions.",""
"random stuff","out_of_scope","I'm here to help with banking. What can I do for you?",""
"pizza delivery","out_of_scope","I can only help with banking services.",""
